"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19354191303","2019/12/20  6:23 pm","€0.04 NL (6 max)","-€0.35","(folded river)","10060000","41011","valerien13","BB","X","XC","XC","XF","false","€0.04","€0.10","€0.21","€0.00","","","false","","","false","","","true","true","false","10h 6h  ","4d 10d Jh","8s","3h"
"19354187616","2019/12/20  6:22 pm","€0.04 NL (6 max)","€0.35","(did not show hand)","14130000","61114","Radames06","EP","R","B","","","false","€0.12","€0.15","€0.00","€0.00","","","","","","","","","","","","Ac Kc  ","6h Jc Ah","",""
"19354180053","2019/12/20  6:20 pm","€0.04 NL (6 max)","-€0.22","(folded river)","12040000","51411","valerien13","BTN","R","B","X","F","false","€0.10","€0.12","€0.00","€0.00","","","","","","","","","","","false","Qc 4c  ","5c Ac Jh","Jd","6h"
"19354176413","2019/12/20  6:19 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","12030000","110608","Kiry0s","BB","C","XF","","","false","€0.10","€0.00","€0.00","€0.00","false","","","","","","","","false","","","Qd 3d  ","Jc 6c 8d","",""
"19354175714","2019/12/20  6:19 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","9080000","91410","eninils8888","CO","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","9c 8c  ","9h As 10h","",""
"19354165254","2019/12/20  6:16 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","8040000","101212","valerien13","BB","X","X","XF","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","8h 4c  ","10d Qs Qc","7h",""
"19354120923","2019/12/20  6:14 pm","€0.04 NL (6 max)","€0.15","(did not show hand)","14090000","20804","Radames06","CO","R","X","B","","false","€0.12","€0.00","€0.13","€0.00","","","","","","","","","","","","Ac 9s  ","2h 8c 4c","Jd",""
"19354120916","2019/12/20  6:14 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","9070000","100212","Kiry0s","BB","C","XF","","","false","€0.10","€0.00","€0.00","€0.00","false","","","","","","","","false","","","9h 7h  ","10h 2c Qs","",""
"19354115350","2019/12/20  6:13 pm","€0.04 NL (6 max)","€0.11","(did not show hand)","4030000","50610","Radames06","SB","R","B","","","false","€0.12","€0.14","€0.00","€0.00","","","","","","","","","","","","4h 3h  ","5d 6s 10s","",""
"19354114760","2019/12/20  6:13 pm","€0.04 NL (6 max)","€0.13","(did not show hand)","14050000","40905","Radames06","BTN","R","B","","","false","€0.10","€0.11","€0.00","€0.00","","","","","","","","","","","","As 5h  ","4s 9h 5d","",""
"19354112969","2019/12/20  6:12 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","11080000","140406","valerien13","BB","X","X","XF","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","Jd 8h  ","Ac 4c 6h","As",""
"19354109689","2019/12/20  6:12 pm","€0.04 NL (6 max)","-€0.18","(folded turn)","14040000","111203","MrGrazmann","BB","C","XC","XF","","false","€0.14","€0.04","€0.00","€0.00","false","","false","","","","","","true","false","","Ad 4s  ","Js Qh 3s","3c",""
"19354100452","2019/12/20  6:09 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","12110000","50807","tonyangel006","SB","R","XF","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","Qh Jc  ","5h 8s 7h","10s","6d"
"19354097335","2019/12/20  6:08 pm","€0.04 NL (6 max)","€0.36","(did not show hand)","14110000","20213","Radames06","BB","R","B","","","false","€0.20","€0.28","€0.00","€0.00","","","","","","","","","","","","Ac Js  ","2h 2d Kh","",""
"19354090482","2019/12/20  6:06 pm","€0.04 NL (6 max)","-€0.40","One Pair, Fours","13040000","100406","Draconnis","BTN","R","B","B","X","true","€0.10","€0.10","€0.20","€0.00","","","","","","","","","","","","Ks 4d  ","10d 4s 6c","9c","3c"
"19354085234","2019/12/20  6:05 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","10050000","30807","TEAMKINGKONG","BTN","R","F","","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","false","","","10d 5d  ","3c 8h 7h","5s","9h"
